"","dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",2015-01-01,1,0,1.65035094232121,5.32863724607321,8.6189981876842,13.6554267045671,17.003289079792,19.1676657141964,21.3020855394375,23.3513717335281,23.98198151198,24.0035616438356
"2",2015-01-01 01:00:00,1,60,0.133772071415163,4.21232161853364,7.57788309926624,12.7562948761356,16.3621966780011,18.6957935945607,21.1712608695458,23.3095558833339,23.9792117265246,24.0035616438356
"3",2015-01-01 02:00:00,1,120,-1.37244796687134,2.8634796765116,6.37893158394225,11.8651240515181,15.7320017076109,18.2125443891513,21.0117584548223,23.2658109831687,23.9762758505055,24.0035616438356
"4",2015-01-01 03:00:00,1,180,-1.91506595533026,1.93092624358432,5.33855841900241,10.9776150668256,15.0953520200545,17.7217938230342,20.8268858612747,23.2196035341047,23.9731655263056,24.0035616438356
"5",2015-01-01 04:00:00,1,240,-2.79401423061436,1.18725709368318,4.53068279736642,10.176633830287,14.4681938561758,17.2255560278642,20.6196921199558,23.1704910219893,23.9698704044924,24.0035616438356
"6",2015-01-01 05:00:00,1,300,-4.03485968112292,0.152963215193156,3.65980030908939,9.42641373919811,13.8627251560375,16.7315761525003,20.3931611750402,23.118113550546,23.9663784832797,24.0035616438356
"7",2015-01-01 06:00:00,1,360,-4.67914943025878,-0.721895554747713,2.77112816311541,8.67245342639595,13.2662400371633,16.2421494509962,20.1504175692736,23.0621936485161,23.9626765389371,24.0035616438356
"8",2015-01-01 07:00:00,1,420,-5.19721457703169,-1.37467964072363,2.04636035013757,7.9613617323955,12.6780974661676,15.7559064471643,19.8940295495619,23.0025278427856,23.9587504144028,24.0035616438356
"9",2015-01-01 08:00:00,1,480,-3.60995230780542,-1.15798608421455,1.6735408799338,7.34299646383587,12.1130210161443,15.2751604772963,19.6261800198222,22.9389721101101,23.9545853366308,24.0035616438356
"10",2015-01-01 09:00:00,1,540,1.46822233812394,1.15033532106044,2.43145784937197,7.04291882295442,11.6198598952225,14.8103476398055,19.3492397139544,22.8714367459737,23.9501661698926,24.0035616438356
"11",2015-01-01 10:00:00,1,600,8.62441528963834,5.59863843181355,4.85223733342819,7.4160108590918,11.3181985946288,14.39486294463,19.0671393777755,22.799900673115,23.9454776705783,24.0035616438356
"12",2015-01-01 11:00:00,1,660,14.1444106267391,10.38728034307,8.33424659471077,8.59566039567083,11.3449846869703,14.0904540747185,18.7877063959143,22.7244670390024,23.9405048823341,24.0035616438356
"13",2015-01-01 12:00:00,1,720,18.6636738132587,14.3593338027865,11.6766407640097,10.2570552824218,11.7326771350943,13.9596744943301,18.5236916299119,22.6454578322406,23.9352338761907,24.0035616438356
"14",2015-01-01 13:00:00,1,780,18.9433616591217,16.4693041950576,14.2882728741434,12.0406386357091,12.3980880622086,14.0265660283613,18.2901951521873,22.5634886425314,23.9296528353199,24.0035616438356
"15",2015-01-01 14:00:00,1,840,17.5759945626136,16.3849891376489,15.269625482196,13.3988191558694,13.1688933301053,14.2663058956583,18.1003043421021,22.4794605551351,23.9237533316448,24.0035616438356
"16",2015-01-01 15:00:00,1,900,17.1692475790019,15.981141715961,15.4510588093716,14.1827143339934,13.8497911229614,14.602943851207,17.960594322218,22.3944581774558,23.9175312851507,24.0035616438356
"17",2015-01-01 16:00:00,1,960,13.135448486636,14.5266335119227,15.0699696976941,14.58725440456,14.377523220336,14.9558910725456,17.8691289642129,22.3095752135128,23.9109873213523,24.0035616438356
"18",2015-01-01 17:00:00,1,1020,7.49054103846664,11.4766730985979,13.421437768389,14.4307012069711,14.7029270289717,15.2686109209982,17.8180206102597,22.2257575400787,23.9041264546504,24.0035616438356
"19",2015-01-01 18:00:00,1,1080,3.67305722843155,8.33798190975062,11.1496910532185,13.6944394789312,14.749713773201,15.4854959005483,17.7952942423237,22.1437078051151,23.8969571739356,24.0035616438356
"20",2015-01-01 19:00:00,1,1140,1.919033956752,6.29433581776202,9.22466123636067,12.7015729429498,14.5381013858079,15.5660529341292,17.7858026927909,22.0638140546971,23.8894902367339,24.0035616438356
"21",2015-01-01 20:00:00,1,1200,1.07603919096101,5.05790170899336,7.84966936562724,11.7527814775729,14.1728256418287,15.5107917110749,17.774539670243,21.9861232573704,23.8817371958284,24.0035616438356
"22",2015-01-01 21:00:00,1,1260,0.135539009328253,4.0677893555404,6.83210880803751,10.9399897926409,13.7482262433079,15.3516387288871,17.7503776747457,21.9103974391412,23.8737090689359,24.0035616438356
"23",2015-01-01 22:00:00,1,1320,-1.26065586741365,2.91774273662656,5.85458646241508,10.2109651006906,13.3086492565588,15.12561947869,17.7072457508263,21.8362229757074,23.8654153614408,24.0035616438356
"24",2015-01-01 23:00:00,1,1380,-2.32033134739229,1.81429236427637,4.86528934884563,9.49402974755677,12.85713081946,14.8576894812074,17.6429414841289,21.7631142538158,23.8568635726219,24.0035616438356
"25",2015-01-02,2,0,-2.85036139795687,0.988566640474188,4.0059767133838,8.80170565362905,12.3939533814914,14.5604141582662,17.5572747657664,21.6905784308607,23.8480590540751,24.0035616438356
"26",2015-01-02 01:00:00,2,60,-4.23667613934474,-0.0494882747075877,3.15513894049043,8.15064205729823,11.9335502664211,14.2445189889042,17.4508581864796,21.6181416433778,23.8390041219083,24.0035616438356
"27",2015-01-02 02:00:00,2,120,-4.22493023645877,-0.61231293149878,2.41811235422393,7.51066371377219,11.4705410400751,13.9148061366964,17.3254720652377,21.5453768864971,23.8297011108518,24.0035616438356
