"","dates","DOY","TIME","WC0cm","WC2.5cm","WC5cm","WC10cm","WC15cm","WC20cm","WC30cm","WC50cm","WC100cm","WC200cm"
"1244",2015-02-21 19:00:00,52,1140,0.0116621895931711,0.0916402734781809,0.0935997861826015,0.0942990981343076,0.173901925240686,0.181015078522175,0.188731654625315,0.192994741448908,0.200380731113822,0.4921875
"1245",2015-02-21 20:00:00,52,1200,0.0121557469653394,0.0915990078698989,0.0935456534939427,0.0942283429571671,0.173826746618851,0.180938520392636,0.188659054700912,0.192940594835673,0.20037977994695,0.4921875
"1246",2015-02-21 21:00:00,52,1260,0.0125230432830363,0.0915499927751377,0.093474043901638,0.0941432713449773,0.17374036932095,0.180857402446074,0.188584858801603,0.192885291466474,0.200378823205183,0.4921875
"1247",2015-02-21 22:00:00,52,1320,0.0129730846997623,0.0915493133418392,0.0934391567062281,0.0940907382007198,0.173679217414478,0.18078551296392,0.188513680374597,0.192831915078903,0.200377860958188,0.4921875
"1248",2015-02-21 23:00:00,52,1380,0.0129966737194474,0.0915718055320872,0.0934196826662454,0.0940526247668541,0.173629512943985,0.180717998484915,0.188443916951997,0.192779395946481,0.200376893365786,0.4921875
"1249",2015-02-22,53,0,0.0129689777124765,0.0916868251594802,0.0934352433456059,0.0940272069078107,0.173570888060471,0.180599229437304,0.188309734828758,0.192677668023815,0.200374942564619,0.4921875
"1250",2015-02-22 01:00:00,53,60,0.0145543539123532,0.0918554185635732,0.0935445864020027,0.0941048810052317,0.1736131051802,0.18056816504855,0.188252138840096,0.192633023870293,0.200373959963537,0.4921875
"1251",2015-02-22 02:00:00,53,120,0.0153372248237847,0.0920394720185367,0.0936676300952251,0.0941968659395301,0.173667945045786,0.180543630479792,0.188196810452123,0.192589814699729,0.200372973049785,0.4921875
"1252",2015-02-22 03:00:00,53,180,0.0157469544778174,0.0922312214552867,0.09379738742354,0.0942970753043273,0.173730731115817,0.180523996002249,0.18814322627488,0.192547692020494,0.200371981966606,0.4921875
"1253",2015-02-22 04:00:00,53,240,0.0164503158051517,0.0924247636522522,0.0939288450646915,0.0944010569778067,0.173797999602967,0.180508013899233,0.188090986427366,0.192506389677677,0.200370986823221,0.4921875
"1254",2015-02-22 05:00:00,53,300,0.0171635407747266,0.0926160502190817,0.0940585592450278,0.0945056725648028,0.173867269350853,0.180494753125562,0.18803979363668,0.192465709937079,0.200369987703266,0.4921875
"1255",2015-02-22 06:00:00,53,360,0.0180172387871453,0.0928067610943093,0.0941883068276159,0.0946122887908158,0.173939540122037,0.180484575674405,0.187989781881918,0.192425743306149,0.200368984685609,0.4921875
"1256",2015-02-22 07:00:00,53,420,0.0175616848851036,0.0929879824841366,0.0943102115358713,0.0947139260889457,0.174009331774399,0.180475377089293,0.187940258254232,0.192386027407436,0.200367977825834,0.4921875
"1257",2015-02-22 08:00:00,53,480,0.0151870786088145,0.0931477500094933,0.0944149042987092,0.0948022346903845,0.174070045727248,0.180464534239367,0.187890349369806,0.192345978817862,0.200366967122027,0.4921875
"1258",2015-02-22 09:00:00,53,540,0.012350664955646,0.0931878965165412,0.0944155654587058,0.0948015646332627,0.174062706790496,0.180429243351758,0.187832400104271,0.192300478300331,0.20036595224001,0.4921875
"1259",2015-02-22 10:00:00,53,600,0.0104432369948609,0.093095465610368,0.094309384991932,0.0947082181208364,0.173983596041764,0.180366901683461,0.187765465352755,0.192248889919819,0.200364932557973,0.4921875
"1260",2015-02-22 11:00:00,53,660,0.00993646840618167,0.0928394592289873,0.0940757031340825,0.0945030316275597,0.17381685711516,0.180270211350222,0.187687011797396,0.192189514780622,0.200363907324197,0.4921875
"1261",2015-02-22 12:00:00,53,720,0.00971221900421197,0.0924329109698654,0.0937261210135626,0.094194635323247,0.173567943903521,0.180139789383765,0.187597134638998,0.19212241023158,0.200362875711151,0.4921875
"1262",2015-02-22 13:00:00,53,780,0.0102945659622766,0.091636471052969,0.0930200939455163,0.0935727878052845,0.173071247350835,0.179910719352749,0.187473917471778,0.192032910267577,0.200361836033989,0.4921875
"1263",2015-02-22 14:00:00,53,840,0.0104490855716259,0.0907550498825447,0.092222962178981,0.0928635375174495,0.172498660553084,0.179644662912503,0.187337719781313,0.191934612516881,0.200360786709319,0.4921875
"1264",2015-02-22 15:00:00,53,900,0.0108105550998861,0.0900987993464279,0.0916193272632172,0.0923133834709209,0.172042160689589,0.179414103047915,0.18721273464943,0.191843691883867,0.20035972777383,0.4921875
"1265",2015-02-22 16:00:00,53,960,0.0112528226612198,0.0896954279840322,0.091237451414042,0.0919499746760004,0.171726247166255,0.179230685519007,0.187102970904968,0.19176283649314,0.200358660207301,0.4921875
"1266",2015-02-22 17:00:00,53,1020,0.0118808987442993,0.0895330713199415,0.0910697884122198,0.0917701064001441,0.171551534708191,0.179097304780706,0.187009548072395,0.191692804428169,0.200357585154328,0.4921875
"1267",2015-02-22 18:00:00,53,1080,0.012644714145934,0.0895390568798248,0.0910516896299727,0.0917205653193074,0.171478810361721,0.179001505643644,0.186928444510614,0.191630914933189,0.200356503632033,0.4921875
"1268",2015-02-22 19:00:00,53,1140,0.0132937048500807,0.0896427853551057,0.0911197791413581,0.091748151125394,0.171467835008621,0.178929672074944,0.186855210490361,0.191574198340148,0.200355416348829,0.4921875
"1269",2015-02-22 20:00:00,53,1200,0.0138754205308732,0.0897590685958077,0.0911960598040809,0.0917859873210329,0.171466732115435,0.178862946617597,0.186783590278895,0.191518473769003,0.200354323623986,0.4921875
"1270",2015-02-22 21:00:00,53,1260,0.0145618265023717,0.0899122571676263,0.0913041290323403,0.0918544404740752,0.171491622196597,0.178807663269832,0.18671573379178,0.191465180935171,0.200353225656615,0.4921875
"1271",2015-02-22 22:00:00,53,1320,0.0150971394179139,0.0900509146856253,0.0913967987844354,0.0919126772524733,0.171510568815197,0.178751964563697,0.186647697483716,0.191411683450119,0.200352122562125,0.4921875
"1272",2015-02-22 23:00:00,53,1380,0.0148634794197127,0.0901629520269592,0.0914633454873473,0.0919509525124927,0.171515675633888,0.178692657348394,0.186578410414186,0.191357264685364,0.200351014288015,0.4921875
"1273",2015-02-23,54,0,0.015358749874527,0.0904165140640825,0.0916232309301614,0.0920572141963645,0.171554033467628,0.178589163267157,0.186444796095203,0.191251492461776,0.200348782355717,0.4921875
